;CRC;HL;HD;TL;Hlimb
319;56.67809344;20.22640388;21.05702276;28.78319699;90.30779705
320;56.47151575;20.17644688;20.88329498;28.74009329;91.08716974
321;58.21449366;20.68841204;21.31687633;29.78391699;96.27713061
322;59.2692192;21.17240378;21.83540789;29.60672353;86.68880507
323;51.66330576;17.40147159;28.60872971;26.88133235;82.36479645
324;51.65688615;17.37717856;34.26635438;26.98008017;82.92239452
325;51.94622;17.43155754;32.83965462;27.11497824;83.60784135
326;58.93663424;19.40450384;26.88634222;30.95627515;98.00363851
327;49.05077148;16.3560319;24.12943718;25.29576267;78.49351267
328;48.82196222;16.33205699;21.29335089;25.11710573;77.72176015
329;48.8807266;16.28766488;23.80105015;25.19189887;78.22450336
330;51.57360343;17.32146619;26.20363998;26.83343226;81.88735919
331;56.33863518;18.30833692;22.7106294;29.54060139;94.18515597
332;56.677211;18.62414148;22.0864352;29.73968923;94.41869236
333;59.84767257;18.11777078;21.54220802;31.50906424;105.6320336
334;48.13905856;16.38342398;18.38975835;24.82836253;77.14626034
335;48.54723564;16.55040575;17.98842471;25.27618125;79.09811001
336;48.51020707;16.57197531;17.83569129;25.2444014;79.47386189
337;47.47768517;16.24348101;17.30156482;24.73763202;78.23359466
338;39.41642002;13.70815653;14.23431881;20.79403836;68.38757392
339;48.79707081;16.67974046;17.91799798;25.37846462;80.02635475
340;58.35749715;20.55760572;20.92623668;28.96099253;91.10185368
341;49.09158774;16.6581191;18.04547014;25.84570356;79.97005429
342;47.05924332;15.90531066;17.34561164;24.82619483;78.15519718
343;44.24938784;14.54379094;16.24160478;23.27847677;78.743664
344;42.94259157;14.051048;15.55310098;22.51921802;76.50056436
345;43.97676583;14.38375968;16.21098923;23.1296804;79.22815357
346;54.91045762;18.64573138;19.8163039;29.29425816;85.85548177
347;61.21088326;20.97097181;22.23493117;33.14199294;95.27078269
348;69.28727868;23.96106873;25.18467037;38.06638966;108.8130085
349;72.9682917;25.1223957;25.99080862;40.90493608;119.6845068
350;74.70838367;26.08378033;27.47365169;41.03068306;115.2049933
351;72.59051687;25.03031557;25.66886818;38.60606489;106.6103269
352;43.28715929;13.97491263;14.25097;21.94532257;61.78784464
353;43.3725224;13.9397326;14.18511921;21.64455206;59.30087443
354;44.56423384;14.23471465;14.1888186;22.03531174;60.00272888
355;44.46684904;14.25382144;14.01648043;22.11162926;61.41257962
356;44.39859161;14.23028447;13.97118476;22.13852938;61.62310539
357;44.47556927;14.26217296;14.01134089;22.11204104;61.49822848
358;44.72115237;14.49737213;13.86659898;22.12363778;63.91031051
359;45.67640899;14.4631694;14.37874895;22.28265453;59.06736728
360;52.05707878;16.57681341;16.58324432;25.72805606;70.76466411
361;42.50084056;13.70026808;13.9379665;21.65921098;61.74438539
362;44.14521234;14.75335087;15.07655892;23.38823178;64.70220925
363;44.36031797;14.83482812;15.23032896;23.576881;65.52054782
364;39.28835175;12.30935029;12.38736178;19.8553002;59.95673732
365;41.38539823;12.82899188;12.74401298;20.50498574;62.99636112
366;44.41275212;15.24849036;16.09444101;22.49077363;69.18360599
367;42.57291776;14.53386147;14.63187641;21.03067019;66.29266793
368;43.00937481;14.63928145;14.90481596;20.82705697;64.40046051
369;43.18593858;14.68708672;14.98104792;20.95850831;65.34526258
370;41.73990062;14.24878868;14.01411242;20.69977021;66.53146516
371;43.10362412;14.57553298;14.29767037;21.46552768;67.62944599
372;39.39919;13.63495617;13.25176192;19.47027313;65.21081012
373;39.42529641;13.64087889;13.25652651;19.47293299;65.24806541
374;39.41055683;13.44225731;13.22358993;19.15703895;64.82509375
375;39.46198168;13.87023791;13.32155072;19.64211635;57.73009641
376;38.9425498;13.73327097;13.05524439;19.45932621;57.76657597
377;39.01635316;13.57408653;13.08951979;19.58310935;61.27329158
378;40.07391738;13.49500039;13.19881886;19.64227248;65.07242572
379;39.93142132;13.45822507;13.13571287;19.47937791;64.83847806
